id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,b1,b2,b3,b4,b5,b6,db1,db2,db3,db4,db5,db6
365,1210,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,1226,NA,NA,1718,1718,us ug,Belong,Some Place,Courtyard,Lobisser,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,1228,NA,NA,1718,1718,us ug,Belong,Some Place,Computer,Courtyard,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,1236,NA,NA,1718,1718,us ug,Belong,Some Place,DuckNest,Redwood,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,1245,NA,NA,1718,1718,us ug,Belong,Some Place,Computer,Courtyard,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,1246,NA,NA,1718,1718,us ug,Belong,Some Place,EastAtrium,Fishbowl,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,1247,NA,NA,1718,1718,us ug,Belong,Some Place,McMillan,O,Other1,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,1248,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,O,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,1249,NA,NA,1718,1718,us ug,Belong,Some Place,Ballroom,FallingSky,Fishbowl,Redwood,Taylor,NA,NA,NA,NA,NA,NA,NA
392,1253,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,FreshMarket,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,1256,NA,NA,1718,1718,us ug,Belong,Some Place,Craft,DuckNest,McMillan,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,1257,NA,NA,1718,1718,us ug,Belong,Some Place,MCC,O,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,1261,NA,NA,1718,1718,us ug,Belong,Some Place,Courtyard,CraterLake,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,1263,NA,NA,1718,1718,us ug,Belong,Some Place,Computer,Courtyard,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,1265,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,Other2,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,1269,NA,NA,1718,1718,us ug,Belong,Some Place,Craft,FallingSky,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,1272,NA,NA,1718,1718,us ug,Belong,Some Place,Courtyard,DuckStore,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,1276,NA,NA,1718,1718,us ug,Belong,Some Place,EastAtrium,McMillan,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,1288,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,1291,NA,NA,1718,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
