id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
107,495,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyEd
107,495,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Other
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Straub.Earl
108,496,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
109,499,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Frohnmayer
109,499,NA,NA,1516,1718,us ug,Belong,Some Place,b2,HEDCO
109,499,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyEd
110,503,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LillisComplex
110,503,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Other
110,503,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
111,505,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Condon
111,505,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
111,505,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MNCH
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Condon
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b2,EMU
112,511,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Library
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b2,SRC
113,519,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Straub.Earl
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Straub.Earl
114,531,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LillisComplex
115,532,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MattKnight
116,533,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
116,533,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
116,533,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
117,534,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Frohnmayer
117,534,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Library
117,534,NA,NA,1516,1718,us ug,Belong,Some Place,b3,LokeyComplex
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b1,EMU
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b2,SRC
118,548,NA,NA,1617,1718,us ug,Belong,Some Place,b3,TurfField3
119,549,NA,NA,1617,1718,us ug,Belong,No Place,b1,No Place
119,549,NA,NA,1617,1718,us ug,Belong,No Place,b2,No Place
119,549,NA,NA,1617,1718,us ug,Belong,No Place,b3,No Place
120,550,NA,NA,1617,1718,us ug,Belong,No Place,b1,No Place
120,550,NA,NA,1617,1718,us ug,Belong,No Place,b2,No Place
120,550,NA,NA,1617,1718,us ug,Belong,No Place,b3,No Place
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b1,EMU
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Lawrence
121,551,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Library
122,552,NA,NA,1617,1718,us ug,Belong,Some Place,b1,Frohnmayer
122,552,NA,NA,1617,1718,us ug,Belong,Some Place,b2,HEDCO
122,552,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Library
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b1,EMU
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b2,Gerlinger
123,553,NA,NA,1617,1718,us ug,Belong,Some Place,b3,Lawrence
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b1,EMU
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b2,No Place
124,556,NA,NA,1617,1718,us ug,Belong,Some Place,b3,No Place
